ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,WCPA Forms,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global
337174,simple,0001,,Smije?na majica babe smo zloceste,-1,0,visible,Smije?na majica,"Tra?ite ne?to posebno ?to garantira dobru atmosferu? Smije?na majica babe smo zloceste je va? savr?eni izbor za sve prilike, zabavan, duhovit i originalan.",,,taxable,default,1,,,0,0,1,,,,0,,,"11,90","?enske majice, Darila za dan ?ena in materinski dan, Majice za skupine",,,https://top-majice.hr/wp-content/uploads/2025/06/free-image-resizer-cropper_-_2020-07-08t102742.705.png,,,,,,,,,10,,1252539,Vrsta in velikost majice,"?enska L, ?enska M, ?enska S, ?enska XL",1,1,Barva majice,"Bela, Crna, Kraljevo modra, Oran?na, Rdeca, Roza, Rumena, Zelena",1,1,Barva teksta na majici,"?ivo rumena, Bela, Crna, Kraljevsko modra, Rdeca, Roza",1,1,,,,,,,,
345874,simple,0002,,Smije?na majica babe su zloceste,-1,0,visible,Smije?na majica,Smije?na majica babe su zloceste nije samo proizvod ? to je recept za dobro raspolo?enje! Iznenadite sebe ili druge originalnim poklonom punim duha i zabave.,,,taxable,,1,,,0,0,1,,,,0,,,"11,90","Majice za skupine, Mo?ke majice",,,https://top-majice.hr/wp-content/uploads/2025/06/free-image-resizer-cropper_-_2020-07-08t102742.918.png,,,,,,,,,10,,1252539,Vrsta in velikost majice,"?enska L, ?enska M, ?enska S, ?enska XL, Mo?ka L, Mo?ka M, Mo?ka S, Mo?ka XL, Mo?ka XXL",1,1,Barva majice,"Bela, Crna, Kraljevo modra, Oran?na, Rdeca, Roza, Rumena, Zelena",1,1,Barva teksta na majici,"?ivo rumena, Bela, Crna, Kraljevsko modra, Rdeca, Roza",1,1,,,,,,,,
354555,simple,0003,,Smije?na majica pivo se pjeni jebe se meni,-1,0,visible,Smije?na majica,Smije?na majica pivo se pjeni jebe se meni nije samo proizvod ? to je recept za dobro raspolo?enje! Iznenadite sebe ili druge originalnim poklonom punim duha i zabave.,,,taxable,,1,,,0,0,1,,,,0,,,"11,90","?enske majice, Ideje za darila, Mo?ke majice",,,https://top-majice.hr/wp-content/uploads/2025/06/free-image-resizer-cropper_-_2020-07-07t145655.171.png,,,,,,,,,9,,1252539,Vrsta in velikost majice,"?enska L, ?enska M, ?enska S, ?enska XL, Mo?ka L, Mo?ka M, Mo?ka S, Mo?ka XL, Mo?ka XXL",1,1,Barva majice,"Bela, Crna, Kraljevo modra, Oran?na, Rdeca, Roza, Zelena",1,1,Barva teksta na majici,"?ivo rumena, Bela, Crna, Kraljevsko modra, Rdeca, Roza",1,1,,,,,,,,
365880,simple,0004,,Smije?na majica ako u raju nema borovnica ja ne idem gore,-1,0,visible,Smije?na majica,"?elite razveseliti dragu osobu? Uz Smije?na majica ako u raju nema borovnica ja ne idem gore, smijeh i dobro raspolo?enje su zajamceni ? poklon koji ce se pamtiti!",,,taxable,,1,,,0,0,1,,,,0,,,"11,90","?enske majice, Ideje za darila, Mo?ke majice",,,https://top-majice.hr/wp-content/uploads/2025/06/free-image-resizer-cropper_-_2020-07-08t134053.062.png,,,,,,,,,2,,1252539,Vrsta in velikost majice,"?enska L, ?enska M, ?enska S, ?enska XL, Mo?ka L, Mo?ka M, Mo?ka S, Mo?ka XL, Mo?ka XXL",1,1,Barva majice,"Bela, Crna, Kraljevo modra, Oran?na, Rdeca, Roza, Rumena, Zelena",1,1,Barva teksta na majici,"?ivo rumena, Bela, Crna, Kraljevsko modra, Rdeca, Roza",1,1,,,,,,,,
366763,simple,0005,,Smije?na majica ako u raju nema piva ja ne idem gore,-1,0,visible,Smije?na majica,"Ako tra?ite nacin da razbijete monotoniju, Smije?na majica ako u raju nema piva ja ne idem gore je ono ?to trebate. Savr?en spoj humora i originalnosti koji ce svakoga nasmijati do suza.",,,taxable,,1,,,0,0,1,,,,0,,,"11,90","Ideje za darila, Mo?ke majice",,,https://top-majice.hr/wp-content/uploads/2025/06/free-image-resizer-cropper_-_2020-07-08t135348.353.png,,,,,,,,,9,,1252539,Vrsta in velikost majice,"?enska L, ?enska M, ?enska S, ?enska XL, Mo?ka L, Mo?ka M, Mo?ka S, Mo?ka XL, Mo?ka XXL",1,1,Barva majice,"Bela, Crna, Kraljevo modra, Oran?na, Rdeca, Roza, Rumena, Zelena",1,1,Barva teksta na majici,"?ivo rumena, Bela, Crna, Kraljevsko modra, Rdeca, Roza",1,1,,,,,,,,
369997,simple,0006,,Smije?na majica sex instruktor prvi sat besplatno,-1,0,visible,Smije?na majica,"Smije?na majica sex instruktor prvi sat besplatno je idealan nacin da iska?ete svoju duhovitu stranu. Poklon za ljude koji vole smijeh, zabavu i originalnost!",,,taxable,,1,,,0,0,1,,,,0,,,"11,90",Mo?ke majice,,,https://top-majice.hr/wp-content/uploads/2025/06/sex_in_truktor.jpg,,,,,,,,,9,,1252539,Vrsta in velikost majice,"Mo?ka L, Mo?ka M, Mo?ka S, Mo?ka XL, Mo?ka XXL",1,1,Barva majice,"Bela, Crna, Kraljevo modra, Oran?na, Rdeca, Roza, Rumena, Zelena",1,1,Barva teksta na majici,"?ivo rumena, Bela, Crna, Kraljevsko modra, Rdeca, Roza",1,1,,,,,,,,
394024,simple,0007,,Smije?na majica ?to me gleda? plati pivo,-1,0,visible,Smije?na majica,Smije?na majica ?to me gleda? plati pivo nije samo proizvod ? to je recept za dobro raspolo?enje! Iznenadite sebe ili druge originalnim poklonom punim duha i zabave.,,,taxable,default,1,,,0,0,1,,,,0,,,"11,90","?enske majice, Mo?ke majice",,,https://top-majice.hr/wp-content/uploads/2025/06/free-image-resizer-cropper_-_2020-07-08t135348.367.png,,,,,,,,,9,,1252539,Vrsta in velikost majice,"?enska L, ?enska M, ?enska S, ?enska XL, Mo?ka L, Mo?ka M, Mo?ka S, Mo?ka XL, Mo?ka XXL",1,1,Barva majice,"Bela, Crna, Kraljevo modra, Oran?na, Rdeca, Roza, Rumena, Zelena",1,1,Barva teksta na majici,"?ivo rumena, Bela, Crna, Kraljevsko modra, Rdeca, Roza",1,1,,,,,,,,
399455,simple,0008,,Smije?na majica smile if you are horny,-1,0,visible,Smije?na majica,Smije?na majica smile if you are horny nije samo proizvod ? to je recept za dobro raspolo?enje! Iznenadite sebe ili druge originalnim poklonom punim duha i zabave.,,,taxable,default,1,,,0,0,1,,,,0,,,"11,90",Mo?ke majice,,,https://top-majice.hr/wp-content/uploads/2025/06/free-image-resizer-cropper_-_2020-07-07t145643.434.png,,,,,,,,,9,,1252539,Vrsta in velikost majice,"?enska L, ?enska M, ?enska S, ?enska XL, Mo?ka L, Mo?ka M, Mo?ka S, Mo?ka XL, Mo?ka XXL",1,1,Barva majice,"Bela, Crna, Kraljevo modra, Oran?na, Rdeca, Roza, Rumena, Zelena",1,1,Barva teksta na majici,"?ivo rumena, Bela, Crna, Kraljevsko modra, Rdeca, Roza",1,1,,,,,,,,
407058,simple,0009,,Smije?na djecja majica I can kick your baby's ass,-1,0,visible,Smije?na majica,"Tra?ite ne?to posebno ?to garantira dobru atmosferu? Smije?na djecja majica i can kick your baby's ass je va? savr?eni izbor za sve prilike, zabavan, duhovit i originalan.",,,taxable,,1,,,0,0,1,,,,0,,,"11,90",Otro?ke majice,,,https://top-majice.hr/wp-content/uploads/2025/06/i_can_kick_your_babys_ass.png,,,,,,,,,1,,1252854,,,,,,,,,,,,,,,,,,,,
407806,simple,0010,,Smije?na djecja majica If something is broken i probably did it,-1,0,visible,Smije?na majica,Dosta vam je dosadnih poklona? Poklonite ne?to ?to se istice! Smije?na djecja majica if something is broken i probably did it je kreativan i ?aljiv odabir za ljude sa stilom i humorom.,,,taxable,,1,,,0,0,1,,,,0,,,"11,90",Otro?ke majice,,,https://top-majice.hr/wp-content/uploads/2025/06/if_something_is_broken_i_probably_did_it.png,,,,,,,,,0,,1252854,,,,,,,,,,,,,,,,,,,,
